path	status	reason
.dockerignore	unreviewed	production-relevant until a pass-3 reviewer records it
.githooks/commit-msg	unreviewed	production-relevant until a pass-3 reviewer records it
.githooks/pre-commit	unreviewed	production-relevant until a pass-3 reviewer records it
.githooks/pre-push	unreviewed	production-relevant until a pass-3 reviewer records it
.github/FUNDING.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/ISSUE_TEMPLATE/bug_report.yaml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/ISSUE_TEMPLATE/feature_request.yaml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/PULL_REQUEST_TEMPLATE.md	unreviewed	production-relevant until a pass-3 reviewer records it
.github/actions/flutter_build/action.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/actions/flutter_integration_test/action.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/android_ci.yaml.bak	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/build_command.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/commit_lint.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/docker_ci.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/flutter_ci.yaml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/ios_ci.yaml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/mobile_ci.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/ninja_i18n.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/release.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/rust_ci.yaml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/rust_coverage.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.github/workflows/translation_notify.yml	unreviewed	production-relevant until a pass-3 reviewer records it
.gitignore	unreviewed	production-relevant until a pass-3 reviewer records it
AUDIT_SUMMARY.md	unreviewed	production-relevant until a pass-3 reviewer records it
CHANGELOG.md	unreviewed	production-relevant until a pass-3 reviewer records it
CODE_OF_CONDUCT.md	unreviewed	production-relevant until a pass-3 reviewer records it
LICENSE	unreviewed	production-relevant until a pass-3 reviewer records it
README.md	doc	readme
ROADMAP.md	unreviewed	production-relevant until a pass-3 reviewer records it
codemagic.yaml	unreviewed	production-relevant until a pass-3 reviewer records it
commitlint.config.js	unreviewed	production-relevant until a pass-3 reviewer records it
doc/CONTRIBUTING.md	unreviewed	production-relevant until a pass-3 reviewer records it
doc/imgs/Typography Styles.svg	asset	binary or font asset, not executable logic
doc/imgs/add_remote_repository.png	asset	binary or font asset, not executable logic
doc/imgs/appflowy-logo-black.svg	asset	binary or font asset, not executable logic
doc/imgs/appflowy-logo-white.svg	asset	binary or font asset, not executable logic
doc/imgs/appflowy_title_and_logo.png	asset	binary or font asset, not executable logic
doc/imgs/cloned_repository.png	asset	binary or font asset, not executable logic
doc/imgs/darkmode - lightmode.svg	asset	binary or font asset, not executable logic
doc/imgs/domain_model_relation.png	asset	binary or font asset, not executable logic
doc/imgs/howtostar.gif	asset	binary or font asset, not executable logic
doc/imgs/run.png	asset	binary or font asset, not executable logic
doc/imgs/welcome.png	asset	binary or font asset, not executable logic
doc/readme/desktop_guide_1.jpg	asset	binary or font asset, not executable logic
doc/readme/desktop_guide_2.jpg	asset	binary or font asset, not executable logic
doc/readme/getting_started_1.png	asset	binary or font asset, not executable logic
doc/readme/mobile_guide_1.png	asset	binary or font asset, not executable logic
doc/readme/mobile_guide_2.png	asset	binary or font asset, not executable logic
doc/readme/mobile_guide_3.png	asset	binary or font asset, not executable logic
doc/readme/mobile_guide_4.png	asset	binary or font asset, not executable logic
doc/readme/mobile_guide_5.png	asset	binary or font asset, not executable logic
doc/roadmap.md	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/.vscode/launch.json	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/.vscode/tasks.json	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/Makefile.toml	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/.gitignore	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/.metadata	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/Makefile	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/README.md	doc	readme
frontend/appflowy_flutter/analysis_options.yaml	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/android/.gitignore	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/android/README.md	doc	readme
frontend/appflowy_flutter/android/app/build.gradle	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/android/app/src/debug/AndroidManifest.xml	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/android/app/src/main/AndroidManifest.xml	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/android/app/src/main/CMakeLists.txt	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/android/app/src/main/Classes/binding.h	unreviewed	production-relevant until a pass-3 reviewer records it
frontend/appflowy_flutter/android/app/src/main/ic_launcher-playstore.png	asset	binary or font asset, not executable logic
frontend/appflowy_flutter/android/app/src/main/kotlin/com/example/app_flowy/MainActivity.kt	reviewed	reported last line matches file length (or off by a trailing blank); model UNKNOWN
frontend/appflowy_flutter/android/app/src/main/res/drawable-v21/launch_background.xml	reviewed	reported last line matches file length (or off by a trailing blank); model UNKNOWN
frontend/appflowy_flutter/android/app/src/main/res/drawable/launcher_background.xml	reviewed	reported last line matches file length (or off by a trailing blank); model UNKNOWN
frontend/appflowy_flutter/android/app/src/main/res/drawable/launcher_foreground.xml	reviewed	reported last line matches file length (or off by a trailing blank); model UNKNOWN
frontend/appflowy_flutter/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml	reviewed	reported last line matches file length (or off by a trailing blank); model UNKNOWN
